Will|Atheism has a certain appeal that religion lacks.  Many theists claim that "Jesus completes them" or "they're filled with the spirit," I've tried that once or twice.  I didn't feel a thing.  My peers admonished me for being inable to feel the presence of the holy spirit and take euphoria in it.  Oddly enough, as soon as I left Christianity, I felt an invigoration I've never felt before.  Individuality, freedom, purpose, it was narcotic and intoxicating.  I was fighting a war with God, and I was winning.
Speaker from godisimaginary.com|When you begin to think rationally, your religion collapses like a house of cards. 
Unknown, quoted by Dana Morale|What is the difference between a cult and a religion?   About 100 years. 
Seen on a Bumper Sticker|Who would Jesus bomb? 
Clarence Darrow|"I don't believe in God because I don't believe in Mother Goose" 
Joe Stout|If you show me the proof.. Then, maybe then, will I believe. 
Robert A. Heinlein|"What are the facts? Again and again and again--what are the facts? Shun wishful thinking, ignore divine revelation, forget what 'the stars foretell,' avoid opinion, care not what the neighbors think, never mind the unguessable 'verdict of history,'- 
John Kelly  Ireland|Why would i create a spider only to act with shock, then anger if it catches a fly? 
FFRF|Freedom of Religion should also mean Freedom from Religion.
Friedrich of Bavaria (II?), 1200 CE|The world has been deceived by three men: Moses, Jesus of Nazareth, and Mohammed. 
paul hampson|atheist look for the right answers while religious people trust god to give them the wrong ones 
Unknown|Prayer - how to feel like you're contributing by doing nothing
Lucius Annaeus Seneca "the Younger," Roman stoic p|"Religion is regarded by the common people as true, by the wise as false, and by rulers as useful." 
Alexandre Dumas Père (Joe Stout)|If God were suddenly condemned to live the life which He has inflicted upon men, He would kill Himself. 
Robert Green Ingersoll|There can be but little liberty on earth while men worship a tyrant in heaven. 
KANT|"The death of dogma is the birth of morality." 
John Lennon|"God is a concept by which we measure our pain." 
Crusade|If God exists, and is the benevolent being, who loves everyone and forgives all who seek forgiveness, as he is foretold in the bible. Why would he sanction the murder of thousands of his own creators in his name? 
Sebastian Faulks (Human Traces)|When we have answered the last question, we will have no more need to dignify our ignorance with the name 'God'. 
Sigmund Freud|Religion is an attempt to get control over the sensory world, in which we are placed, by means of the wish-world which we have developed inside us as a result of biological and psychological necessities.  Moses and Monotheism / 1939 
Tommy J., 1814|The whole history of these books [old & new testament] is so defective and doubtful -- evidence that parts have proceeded from an extraordinary man; and that other parts are of the fabric of very inferior minds. 
R.P.Boylan|As we become some sohisticated we create more sophisticated demons, devils and gods. Religion is the closet where these boogeymen reside. 
Ambrose Bierce|Believe those who are seeking the truth. Doubt those who find it. 
Rick Reynolds|I don't use the term 'miracle' lightly. I don't believe in God, or reincarnation, or destiny, or the Publishers' Clearinghouse Sweepstakes. 
James|Adam and Eve Had Cain and Abel, Cain slew Abel. Adam,Eve,and Cain...I'd say Eve was pretty busy. 
Carl Sagan|It is far better to grasp the universe as it really is than to persist in delusion, however satisfying and reassuring.
Woody Allen|God is either cruel or incompetent. 
Harlen Campbell|The point of religion is not god; the point is social cohesion. Religions evolved in every surviving culture because those that didn't develop a religion were destroyed by the others. Religion makes it easier to justify the slaughter our neighbors an 
Chris Parry|Re: The Bible. - If I watched a football match then orally relayed the events. This is repeated from father to son orally for 500 years. How accurate do you think the resulting report would be? Yet the first thing any theist does is quote the Bible!! 
Dan|A man without religion is like a fish without a bicycle. 
Viola|Um, Genesis says God look a nap (just like an over-worked factory worker) on the 7th day after he'd done all that planet-building.  Was the writer of that book not familiar with the exact meaning of the term 'omnipotent'? 
Nate Brown|god makes man in his own image. Many men are gay. That means god must be bisexual. 
Bill Hicks|You ever noticed how people who believe in Creationism look really unevolved? You ever noticed that? Eyes real close together, eyebrow ridges, big furry hands and feet. "I believe God created me in one day" Yeah, looks liked He rushed it. 
LJM|A moral man needs religion as much as a blind man needs sunglasses. 
paul hampson|religion creates the most useful of slaves; those who think they are free 
Baron D' Holbach|The  ignorance of nature gave birth to gods; knowledge of nature is destined to destroy them. 
Unknown|Being a Christian or being a Muslim means being different. Being a Human means being the same. 
Eric Hoffer|Absolute faith corrupts as absolutely as absolute power 
Ryan Hanson|If God created the world, the who created god? and who created whoever created god? So somewhere along the line something had to just be there. So why can we just skip god the idea of god and go straigth to earth? 
Euripides|A man's most valuable trait is a judicious sense of what not to believe. 
Daniel Boorstin|I have observed that the world has suffered far less from ignorance than from pretensions to knowledge. It is not skeptics or explorers but fanatics and ideologues who menace decency and progress. No agnostic ever burned anyone at the stake or tortured a pagan, a heretic, or an unbeliever.
Catharina Martin|If the masses at church go to heaven, I wish to stay on Earth and burn when the apocalypse comes, for I would rather die an agonizing and painful death than spend the rest of eternity amongst ignorant people. 
mike lionheart|faith is like a leash to a dog, it keeps the target from ever reaching tis true potential 
Brian|Moral and ethical fiber without purpose is better than a criminal who attends church. 
Robert A. Heinlein|Men rarely (if ever) manage to dream up a god superior to themselves. Most gods have the manners and morals of a spoiled child.
Thomas Edison|I have never seen the slightest scientific proof of the religious ideas of heaven and hell, of future life for individuals, or of a personal God. So far as religion of the day is concerned, it is a damned fake... Religion is all bunk. 
Aristotle|A tyrant must put on the appearance of uncommon devotion to religion. Subjects are less apprehensive of illegal treatment from a ruler whom they consider god-fearing and pious. On the other hand, they do less easily move against him, believing that h 
Adoniram|Only those in fear of losing god defend his existence so fervently. 
Thomas Paine|Every national church or religion has established itself by pretending some special mission from God, communicated to certain individuals. The Jews have their Moses; the Christians their Jesus Christ, their apostles and saints; and the Turks their Ma 
Pink Floyd ("Breathe")|For long you live and high you fly;  And smiles you give and tears you'll cry;  And all you touch and all you see;  Is all your life will ever be. 
Kevin Quick|If there is a God, he envies the Atheists who test drive their cars before they buy them. 
Haywood Newkirk|Religion is a lot like NASCAR, something for the ignorant masses to believe in. 
David Mathews|Homo sapiens will go extinct.  What then? 
Troy Witte|The fool says in his heart: 'There is no God.' The Wise Man says it to the world 
Larry Rhodes|It can not be conducive for good mental health to have an All-Powerful "Judge of Right and Wrong" watching your every move and reading your every thought ready to cast you into hell for eternity for the slightest infraction. 
Martin Frick|" ... But when it all comes around, I don't care about what you worship or not. I just think it is so typical and sad, that everytime Man doesn't understand something he imediately blames it all on God, Hare Krishna, Allah or some other ghost. 
Eric Ambler|For the skeptic there remains only one consolation: if there should be such a thing as superhuman law it is administered with subhuman inefficiency. 
acidboy|There are some for whom the prospect of nonexistence leads to mental breakdown.  The rest of us are atheists.
Jon|God may have created the universe in a week, but man created god in an instant. 
Bill Hicks|I love the pope in his pope mobile. Three feet of bullet proof plexiglass. That’s faith in action folks, you know he’s got god on his side
K Lindberg|Personally its not God I dislike, its his fan club I cant stand. 
Kevin|"Faith is a moral failing" - George M. Felis 
Geoff Mather|The core of Christianity is this: It's an Iron Age Cult of Human Sacrifice. Any love, compassion, or gentleness tacked onto it is just natural humanity's attempt to conceal the hideousness of that sick horror. 
Gunnar Ekelof|I don't believe in a life after this. I believe in this life. 
Epicurus|Is God willing to prevent evil, but not able?     Then he is not omnipotent.Is he able, but not willing?     Then he is malevolent.Is he both able, and willing?     Then whence cometh evil?Is he neither able nor willing?     Then why call him God.
Sam Harris|The President of the United States has claimed, on more than one occasion, to be in dialogue with God. Now, if he said that he was talking to God through his hairdryer, this would precipitate a national emergency. I fail to see how the addition of a hairdryer makes the claim more ludicrous or more offensive.  -- from his book, The End of Faith: Religion, Terror, and the Future of Reason
Earnest Hemingway|"All thinking men are atheists." 
Madelyn Murray O'Hair|ALL Gods come from the same place -- ONE'S IMAGINATION! 
Penn Jillette|There is no god. 
partikel|taking the whole universe into account, atheism is what religion claims to be: old and widespread belief. 
Carl Sagan|It is far better to grasp the Universe as it really is than to persist in delusion, however satisfying and reassuring. 
Victor Hugo|* There is in every village a torch: The schoolteacher. And an extinguisher: The priest.
Issac Asimov|Properly read, the Bible is the most potent force for atheism ever conceived 
Benjamin Franklin|Lighthouses are more helpful than churches." 
Charles Darwin|I cannot persuade myself that a beneficent and omnipotent God would have designedly created parasitic wasps with the express intention of their feeding within the living bodies of Caterpillars. 
Art Hoppe|If there is no God, who pops up the next Kleenex? 
Steven Weinberg|Religion is an insult to human dignity. With or without it you would have good people doing good things and evil people doing evil things. But for good people to do evil things, that takes religion. 
warren searfoss|Religion is the number one killer in the history of the world 
Unknown|For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him, would believe in anything. 
Andy Mulcahy|Life is but a momentary glimpse at the wonder of this astonishing Universe and it is sad to see so many dreaming it away on spiritual fantasies. 
Blulu|If God exists and loves me soooo much that he would send his only son to die to save me, then why does he hide from me and then condemn me for not believing by faith alone? In order to save someone I loved I would probably pop round and see them and tell them directly and personally what they should do. Several times if necessary. Not make them play guessing games that will cost them their soul if they don't guess right.
Émile Zola|Civilization will not attain perfection until the last stone, from the last church, falls on the last priest.
Thomas|Those waiting for an afterlife miss out on this one. 
Dictionary|Faith, n. Belief without evidence in what is told by one who speaks without knowledge, of things without parallel. 
Bryan Gutierrez|And the red sea opened widely from shore to shore; violating the laws of physics. 
Sigmund Freud|The defense against childish helplessness is what lends its characteristic features to the adult's reaction to the helplessness which he has to acknowledge — a reaction which is precisely the formation of religion.  The Future of an Illusion 
Tha-Flash|God is Santa Claus, just bigger. 
Isaac Asimov|Properly read, the bible is the most potent force for Atheism ever concieved. 
Mike Fuhrman|I refuse to believe in a god who is the primary cause of conflict in the world, preaches racism, sexism, homophobia, and ignorance, and then sends me to hell if I'm 'bad'." 
BSG|You've got to question a story where the fruit of knowledge is forbidden.
Friedrich Nietzsche|In heaven all the interesting people are missing. 
Wayne Atkins|What if you met an adult who still believed in Santa Clause.  Based on faith.  Would you consider this person admirable for having such strong faith, such strong belief without evidence? Or would you consider him a fool for believing in something so preposterous without any evidence?
Thomas Jefferson|Question with boldness even the existence of a God; because, if there is one, he must more approve of the homage of reason than that of blindfolded fear. 
Voltaire|If God did not exist, it would be necessary to invent him. 
Woody Allen|The worst thing I can think to say about God is that he's an underachiever. 
Rosie O'Donald|Extreme Christianity is like extreme Islam 
the unknown poet|just remember: all religions were cults at one time
Christoper Hitchens|That which can be asserted without evidence can be dismissed without evidence.
Susan Ertz|Millions long for immortality who don't know what to do with themselves on a rainy Sunday afternoon. 
Penn and Teller|The characters and events depicted in the damn bible are fictitious.  Any similarity to actual persons, living or dead, is purely coincidental. 
Epicurus|If the gods listened to the prayers of men, all men would quickly have perished: for they are always praying for evil against one another. 
David J. Constable|Fundamentalism, of any type, due to its prerequisite lack of intelligent thought, could prove to be the worst weapon of mass destruction, of all. 
Wilson Mizner|I respect faith, but doubt is what gets you an education. 
Unknown|Every human is born with only one god, their mother. Indoctrination and common sense, will determine the future of the child. 
Strop|Religion is mass social engineering, because there is no patch for human stupidity 
M.Schramm|Those who support God, ultimately support war 
Cameron Cross|I love how the people who wrote the bible made a conscious effort to discourage their readers from asking questions or thinking independently.  Don't eat from the tree of knowledge, be like sheep instead...that'll save us a lot of hassle and it will make the Bible seem less ridiculous.
Doanld Morgan|Atheist: A person who believes in one less god than you do. 
Ayn Rand|I need no warrant for being, and no word of sanction upon my being. I am the warrant and the sanction. - Anthem 
Earl Lee|People have a natural desire to believe.  It is programmed in our genetics.  How else do you explain, for example, the remarkable growth of the mormon church in the last 150 years.  People can be made to believe anything, no matter how goofy it is.
Jack Pritchard|One cannot disprove the existence of a God anymore than one can the existence of the Tooth Fairy.  But if enough people believed in the latter, would it make it any more credible? 
Scott|Jesus Saves! But I Recycle 
MF|Absolute faith corrupts as absolutely as absolute power but absolute power is corrupt only in the hands of the absolutley faithful 
Cogito|I liken a religious follower to a domesticated animal: intellectual curiosity fenced in by boundaries of faith, undesired behaviour choked by the chain of damnation, sexual developement neutered by idealic chastity, loyalty ensured by a feeding of righteousness every week. What once was a wolf, cunning and hardy, has now become a lapdog, blindly loyal and dependent on its master. Which would you wish to have in your house?
Bill Sheehan|If God is omnipotent and all-good, then how could evil exist? 
Skewtski McDojo|There is but one way to truly know if God exists, and that is to die.  Is it not fitting, then, to see fanatical worshippers killing one another?  In my eyes, this is their way of proving to the other whose God exists by sending them to greet Him with a bullet.  Since we will all die anyway, whats the point of fighting?
Ayn Rand|"Pride has to be earned; it is the reward of effort and achievement; but to gain the virtue of humility, one has only to abstain from thinking- nothing else is required- and one will feel humble quickly enough" 
Robert|The words kill, killed, slay, slew, put to death and the like appear far too often in the Bible. Why all of the killing? 
Charles Bukowski|I have more faith in my plumber than I do the eternal being. Plumbers do a good job. They keep the shit flowing. 
Ramakrishna CM|God and religion are neither necessary nor sufficient for man to be good. 
Will Rodgers|They say that nothing is as inevitable as death and taxes, but death doesn't get worse every time congress meets 
Unknown|The more he talked of virtue, the faster I counted the silver 
Lao Tzu|He who feels pricked, must first have been a bubble. 
Arthur Schopenhauer, German philosopher (1788-1860|"There is, no Absolute, no Reason, no God, no Spirit at work in the world: nothing but brute instinctive will to live." 
Super Intendent Chalmers|A prayer in a public school!  God has no place within these walls, just like facts have no place within organized religion.
David Powers|If god created man in his own image, how come I'm not invisible? 
M. Flohr|Praying to a rock yields the same results as praying to a deity. 
Charlie Chaplin|By simple common sense I don't believe in God, in none 
44th President of the United States|He who says &quot;The United States is a Christian nation founded upon Christian principles and beliefs&quot; is woefully ignorant of history.  The United States was founded by Deists, and the puritan settlers were but one class of immigrant groups a 
Eddie Izzard|Fair enough, there are a few gaps in evolutionary theory, but you do not therefore decide "fucking MAGIC!" 
Reggie|Almost all religions that I have researched started with good intentions, but man shattered those intentions with human nature. Religion does not fit in with human nature. There is no such thing as world peace because humans are arrogant. 
Travis K|Doesn't it ever bother you when those who say, "If there is a god, he should kill me" don't die??? 
Karen Armstrong|Imagination is the most important religious faculty. 
unknown|Mankind is the puddle, marvelling at how perfectly the pothole conforms to its shape. 
Isaac Asimov|I expect death to be nothingness and, for removing me from all possible fears of death, I am thankful to atheism. 
Fates|When you pray for peace, remember that gun companies are steadiily trying to fullfill that order. 
Baron von Knifty|If money could be made in not believing in god, you’d see millions and millions of born-again atheists.
Bumper Sticker|It's Not God I'm Against? It's His Fan Club!
Brandulph|Apart from religion, money is required to wage war. 
Luis Bunuel (NOT Salvador Dali!)|Thank God I'm an atheist. 
android|if we are all gods children....whats so special about jesus
Voltaire|"Christianity is the most ridiculous, the most absurd and bloody religion that has ever infected the world." 
Richard Dawkins|By dislaiming the idea of a next life, we can take more excitement in this one! 
a co-workers 6 year old daughter|Upon passing a church a father asked his daughter if she knew what the building was she replied: "It's a place where grownups tells fairy tales to each other". 
Mikhail Bakunin|If God really existed, it would be necessary to abolish him. 
Brian|Moral and ethical fiber without purpose is better than a criminal who attends church. 
Scott|"TOO THE VICTOR GOES THE SPOILS"- The paramount spoil of war is the ability to write (or right) its' history 
Sam Harris (from Letter to a Christian Nation)|George Bush says he speaks to god every day, and christians love him for it. If George Bush said he spoke to god through his hair dryer, they would think he was mad. I fail to see how the addition of a hair dryer makes it any more absurd.
Graffiti at a French University|[translated] If god exists, that's his problem. 
Skip Bazile|Question everything about religion and you will discover why others don't. 
Ronnie Snow|Animals do not have gods, they are smarter than that 
Travis K.|Religion's greatest enemy has always been common sense. 
Matt Woodard|Religious sounds dandy, but so do unicorns. 
Brucie|Pity they didn't find the missing page of the bible that noted all characters and events are fictional and any resembelence to an individual is purely coincedental. 
Bob Allen|A belief is an idea around which we close our minds 
Robert Frost|I turned to speak to God, About the world's despair; But to make bad matters worse, I found God wasn't there. 
Dr. Travis A. Erickson|Organized religion is the ball and chain around the leg of science 
Wouter Lenaerts|Religion is a virus and knowledge is the cure.
Shaun Mason|Faith is the unflagging determination to remain ignorant in the face of any and all evidence that you're ignorant.
Standhal|All religions are founded on the fear of the many and the cleverness of the few
James Haught|The U.S. has more churchgoing than any other major democracy and it reports much higher rates of murder, rape, robbery, shootings, stabbings, drug use, unwed pregnancy, and the like, as well as occasional tragedies such as those at Waco and Jonestown. There may be no link between the two conditions, but the saturation of religion has failed to prevent the severe crime level. Societies rife with fundamentalism and religious tribalism are prone to sectarian violence. In contrast, England, Scandinavia, Canada, Japan, and such lands have scant churchgoing, yet their people are more inclined to live peaceably, in accord with the social contract. The evidence seems clear: To find living conditions that are safe, decent, orderly, and 'civilized,' avoid places with intense religion.
Unknown|Jesus hardly made the greatest sacrifice. He knew he would be resurrected anyway. 
Armand Salacrou|The existence of a world without God seems to me less absurd than the presence of a God, existing in all his perfection, creating an imperfect man in order to make him run the risk of Hell. 
Jesper|The bible was written by people who didn´t knew better. 
David Powers|God sacrificing his only son, knowing he would ressurect him shortly thereafter? That doesn't sound like much of a sacrifice to me. 
Ambrose Bierce|Scriptures, n. The sacred books of our religion, as distinguished from the false and profane writings on which all other faiths are based. 
jake|You say I'm a sinner for denying, i think that you're a sinner for not thinking for yourself. 
Gerry|I have no desire to go to heaven, I am afraid of beiing the only one there. 
UNK.|...and on the 6th day God created man in His own image. On the 7th day Man promptly returned the favor. 
Ayn Rand|God... a being whose only definition is that he is beyond man's power to conceive. 
Darren|Not everyone is a believer in God, but we are all non-believers in one God or another. If the consequences for non-believers are an eternity in hell, then I can't wait to meet you, as we are ALL heading there. 
Baron von Knifty|The only miracle I can find in religion is that not one follower questions the silliness of it. 
Carl Sagan|It is far better to grasp the universe as it really is than to persist in delusion, however satisfying and reassuring.
Mark Twain|It ain’t those parts of the Bible that I can’t understand that bother me, it is the parts that I do understand.
Bill Vincent|Sheep are considered among the stupidest of farm-living creatures, herded by snapping dogs, only to have their fur sheared for market or even killed for their meat. It is by no small coincidence that Priests call the people who listen to them "their flock".
vancoqt|Humans can always do without any religion but religion can never do without the support from any of our fellow humans.
Me|Science has been chipping away at religion even since the church accepted that the world is not flat. 
G. Hoskins|I'm pretty sure that we'd all be willing to die for the future of mankind if we knew we'd be living again three days later and receive eternal fame for it, so what's the big fuss about? 
Eddie Izzard|There’s a huge hole in the whole Flood drama, because anything that could float or swim got away scot-free, and it was the idea to wipe out everything, He didn’t say, “I will kill everything, except the floating ones and the swimming ones, who will get out due to a loophole."
Proverb|Those who restrain desire, do so because theirs is weak enough to be restrained 
Tiberius C. Costea|As depressing as it sometimes is, to know that after this life there is nothing on the other side, I prefer knowing the truth than lying myself and being happy about it. 
Richard P. Feynman|The Stage is too big for the Drama 
Benjamin Franklin|Lighthouses are more helpful then churches.
Richard A. Weatherwax|You do not need the bible to justify love, but no better tool has been invented to justify hate.
Annie Dillard|"Eskimo: 'If I did not know about God and sin, would I go to hell?' Priest: 'No, not if you did not know.' Eskimo: 'Then why did you tell me?'"
Annie Dillard|Eskimo: "If I did not know about God and sin, would I go to hell?"Priest: "No, not if you did not know."Eskimo: "Then why did you tell me?"
Carlos Mencia|If God made Adam and Eve, they had children... wait a minute... that means someone banged their sister! 
Blulu|Reply to yourall embarrassing: I (like many atheists) know the bible really well, probably better than you. It is a good read and contains some useful teachings that still apply. However, anyone who says they believe every word of it is either deceiving others or themselves. It contains so many contradictions, and things that nobody, not even you, honestly believes applies anymore. If you Google ‘bible contradictions’ you will find over 1,000,000 entries. Some written by believers trying (and failing) to justify them and some written by atheists like me who know the bible well enough to know that it is very human written and flawed. Either ‘god’s word’ is true or isn’t. If there is just one contradiction in it, this would be enough to discredit it as the foundation of any religion, but actually there are many, perhaps hundreds. Those who justify these contradictions ask us to believe that god changed his mind and his principles as the time progressed – how absurd is that? I’m sorry but what you accuse us of here really applies to you. It is believers who have to twist what they read into something that supports their views. I will stop here, because I know I can never convince you when you are so determined to keep lying to yourself.
John C. Thornberry|"I am proud to declare that I am one-hundred percent free of religious mind control.  I am an Atheist." 
Woody Allen|After all, there are worse things in life than death. If you've ever spent an evening with an insurance salesman, you know what I'm talking about. 
lord_chefren|Creationism, stupidity in a brand new package. 
David J. Constable|Perhaps, if more people of faith spent more time personally preparing for their Heaven, Valhalla, Nirvana, the Rapture, the Enlightenment, .... and less time preaching to, interfering with, and  maligning others, we would all be better off. 
Lubomir Argirov|There is not a single passage in any holy book that prevents it from being a fairy tale and brings it into the realm of God. 
Andy Mulcahy|Let us help and support one another, for we are on our own in this vast, uninterested Universe 
Derrick Jensen in The Culture of Make Believe|Hatred felt long and deep enough feels like tradition. - Derrick Jensen in The Culture of Make Believe 
Groucho Marx|Those are my beliefs.  If you don't like them, I have others. 
Ukranian Proverb|The church is near, but the way is icy, The tavern is far, but I will walk carefully 
unknown|Atheism is a religion, just like "off" is a TV channel 
Alexander Loutsis|To really be free, You need to be free in the mind 
Thomas|If there was a God, surely he'd stop messin' us about, and tell us! 
Carl Sagan     Astronomer and Author|We make our world significant by the courage of our questions and by the depth of our answers. 
Gene Roddenberry      Creator of Star Trek|"I condemn false prophets, I condemn the effort to take away the power of rational decision, to drain people of their free will--and a hell of a lot of money in the bargain. Religions vary in their degree of idiocy, but I reject them all. For most people, religion is nothing more than a substitute for a malfunctioning brain."
Blulu|Most religions prophecy the end of the world and then consistently work together to ensure that these prophecies come true. 
Isaac Asimov|To surrender to ignorance and call it God has always been premature, and it remains premature today. 
St. Peter|You were a believer, yes.  But you skipped the not-being-a-jerk-about-it part. 
Jon|Who's to say that the Bible isn't a fictional story?  It's changed over years, just like a legend passed down generations. 
John Kelly  Ireland|If sickness is Gods will, your recovery in his hands, then why go to a hospital? 
Frank Zappa|If you want to get together in any exclusive situation and have people love you, fine - but to hang all this desperate sociology on the idea of The Cloud-Guy who has The Big Book, who knows if you've been bad or good - and CARES about any of it - to 
Hannah|If God gave us the ability to reason, why would he punish us for it?
Gabriel Neil|Some argue that atheism is an equal and opposite to theism. This is incorrect, atheism is in fact the default position, theism is the anomaly to explain.
Denis Diderot|Man will never be free until the last king is strangled with the entrails of the last priest.
Delta|So your god loves me? Then why does his believers hate me?
House MD|"Rational arguments don't usually work on religious people. Otherwise there would be no religious people."
Thomas Hobbs|Religions are like pills, which must be swallowed whole without chewing.
Robert G. Ingersoll|I cannot see why we should expect an infinite God to do better in another world than he does in this. 
W. Fristoe|Trying to find "The One True Religion" is like looking for a needle in a haystack that is hiding no needles. 
MIK|gods have never provided  answers, only hurdles and hoops. 
Bob Allen|God is organized crime's most lucrative confidence scam 
Butterfly McQueen|As my ancestors are free from slavery, I am free from the slavery of religion. 
ryan|If there were a god, he would know me well enough to know that I would have to see him/her/it before I believed in him/her/it...that precludes me from going to hell...I can't say that for all you "believers". 
jstep|without ignorance god is nothing 
Freud|"The whole thing is so patently infantile, so foreign to reality, that to anyone with a friendly attitude to humanity it is painful to think that the great majority of mortals will never be able to rise above this view of life." 
Satyanveshi .|God is a hook on which human beings hang their fears and insecurities. 
Ken Harris|Primitive people, without the benefit of scientific method, could not see how the wind could move, so they concocted "gods" who moved the wind for them.  That's when the trouble started. 
David J. Constable|I have a conundrum.  If I tell you your spouse is being unfaithful, you demand proof. If I tell you that you have a life-threatening disease, you seek proof. If I tell you that there will be a Second Coming or Armageddon, you not only seek no proof, but accept such an unsupported statement as truth.
paul hampson|the idea of god gives explanations and resons for existence whilst providing no reason or explanation for the existece of god 
Maynard James Keenan|You've claimed all this time that you would die for me. Why, then, are you so surprised when you hear your own eulogy? 
Tryfid|If people had to be aware adult to consent in their religious education, no one would take the story of zombie called Christ seriously. 
Albert Ellis (American Psychologist)|"OK, I'll admit that there is a .00000000000000005% chance that God does exist, but if he does what makes you think he gives a shit about you" 
sir David Stevens|God rested on the 7.th day  what for ? surely the author of that statement doesnt know the meaning of OMNIPOTENT 
unknown|Some people may trust in God, but I certainly don't trust ANYONE who works for him. 
Juan Vega|Every time a child is born, an eye appears on the face of god, every time a man dies an eye disappears, for he is always watching us. In the beginning HE had only two now he has approximately 6.5 billion eyes. Isn’t that a mythological being? 
Woody Allen|Eternal nothingness is OK if you happen to be dressed for it. 
Art|Why should I look to an &quot;after life,&quot; when I can find both heaven and hell here? 
J. Suppasan|The fact that there are those who absolutely, without any doubt believe in the existence of God, I take as evidence that he does not. 
Guillermo  Garcia Cruz|You are a good person because you fear damnation, I'm a good person without obligation.
scientist|in science an Idea is false, unless proven to be true. So does god exist? prove it
Sam Harris|Atheism is nothing more than the noises reasonable people make when in the presence of religious dogma.
Sam Harris|“George Bush says he speaks to god every day, and christians love him for it. If George Bush said he spoke to god through his hair dryer, they would think he was mad. I fail to see how the addition of a hair dryer makes it any more absurd.” 
Richard Dawkins|The   god of the old testement is arguably the most unpleasant character in all fiction: jealous and proud of it, a petty  unjust unforgiving control  freak; a vindictive bloodthirsty ethnic cleanser; a misoginystic, homophobic, racist infanticidal, genocidal, filicidal, pestilential, megalomaniacal, sadomasochistic, capriciciously malevolent bully.
wikipedia|The existence of gods is not denied, but may be designated unnecessary or useless; gods neither provide purpose to life, nor influence everyday life 
Tiberius C. Costea|Logic and reason reject the possibility of the existence of a "spiritual" world.As any educated person (especially in the matters of the brain functions) knows,that the conciousness mainly the self-awareness part of it, is produced by the brain. Self-awareness being described as the exact awareness of the existence of ones self; being aware of ones self at any chosen time of the subject, and being able to produce the awareness in an instant.Or by the decomposion of the brain after the demise of the physical body,any function of the brain dies along with it.Knowing this it would not be possible to be aware of ones self in a so called dimension that does not include any material aspect,(the brain in this particular case)because "The spiritual" as defined by the believers is some sort of dimension that is opossed to the physical world,and does not include the laws of physics nor the most basic natural laws such as space,time,matter,gravity.Even if it would be possible to achieve such futile nonsense, once on the otherside, the first human impulse is the self-positioning of ones self.The first question that rises inside ones head after wakeing up from a deep state of unconciousness is "Where Am I".Ofcourse such question would be nonsense in a world that contains no space; not to mention that an individual needs at least one milisecond to become aware and to ask himself that first positioning question.This would ofcourse require time.But According to the believers this feature is also missing from the "spiritual" world.So as you can see all this is logical and rational scientific thinking that no believer bothers to do for himself.One more proof that reason destroys blind and foolish faith.
Shawn Young|Believing in god and an afterlife is the epitome of procrastination. 
Morning Red, vocalist of Auto da fe|Discussing the bible from a scientific perspective is like debating material stress in gingerbread houses. Why would a creator of such diversity be so selective? Why would he keep secret the directive he espouses? 
Tiera Hurlbert|Atheist or Christian, man will always act in his own self-interest.  Unless we can create a race of humans that has no basis to feel superior or inferior to other humans, work toward a common good and understand that love is an action, not a feeling, mankind is doomed.
Ludwig Feuerbach|Man created God in his image
Lemuel K. Washburn|Most of the people would destroy the Truth if the Truth was about to destroy their religion.
Gabriel Neil|If I said to someone that because they were a homosexual, I would take them down to my basement and torture them, claiming my own "universal law", I would be considered a dangerous psychopath. When god does it, it's holy judgment and not to be questioned.
RALPH WALDO EMERSON|The religion of one age is the literaryentertainment of the next.
Baron von Knifty|Superstition is the same as religion. The difference is the gamblers who rub the rabbit’s foot or the people who pack around four-leaf clovers don’t want to kill me because I don’t believe the same thing they do.
Eric Trowbridge|I used to believe in God, but then I read the bible.
chris mccasland|Religion is a bad answer to a good question.
Unknown|Is it good, because your god tells you it is good? Then the morals you speak of are empty.Does your god tell you it is good, because it is already good? Then the morals you speak of need no god.
Stephen King|When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, "Why god? Why me?" and the thundering voice of God answered, "There's just something about you that pisses me off." 
Robert G. Ingersoll|Religion supports nobody. It has to be supported. It produces no wheat, no corn; it ploughs no land; it fells no forests. It is a perpetual mendicant. It lives on the labors of others, and then has the arrogance to pretend that it supports the giver. 
unknown|it's your hell, you burn in it. 
Jack Pritchard|Religion is like a virus that affects the behaviour of its host in such a way as to propagate itself further. 
jstep|religion is the problem not the solution 
Harold J. Laski|Our business, if we desire to live a life not utterly devoid of meaning and significance, is to accept nothing which contradicts our basic experience merely because it comes to us from tradition or convention or authority.  It may well be that we sha 
Rob Riener|I thank God I'm an athiest. 
unknown|A Buddhist Monk walked up to a hot dog vendor and said "Make me one with everything." 
